true	newsletter@5212299.brevosend.com	Spur N 12/2024: Kato TGV, Arnold, Piko, Fleischmann, Loewe
true	newsletter@5212299.brevosend.com	Spur N 12/2024: Liliput Restposten
true	newsletter@5212299.brevosend.com	Spur N 12/2024: Arnold Super-Sale Güterwagen und Personenwagen
true	kwk@1und1.de	Nur noch bis 31.01.: Doppelte Prämie
true	mobile-team@1und1.de	Manuel Peise, genießen Sie die Freiheit – mit Laptop oder Tablet.
true	info@e-mail.xing.com	Bis zu 70 % Rabatt auf ProJobs.
true	noreply.8883@6187.com	   .Lbs fallen  Schnell ohne  Diat   und   Bewegung.                               
true	mobile-team@1und1.de	Nur noch 5 Tage: 1&1 All-Net-Flats zum Dauertiefpreis.
true	kwk@1und1.de	Unsere Belohnung für Sie!
false	rechnungsstelle@1und1.de	Ihre 1&1 Rechnung
true	kwk@1und1.de	Bis 29.02.: Ihre Belohnung wartet auf Sie!
true	service-news@1und1.de	Guten Tag Manuel Peise, so sorgt 1&1 für mehr Sicherheit.
true	support@1und1.de	Geschwindigkeit Ihres Internetanschlusses
true	kwk@1und1.de	Nur bis 01.04.: Mehr Prämie. Mehr verdienen!
true	kwk@1und1.de	Nur noch bis 30.04.: Mehr Prämie für Sie
true	tarifberatung@1und1.de	Neu: 1&1 HD TV jetzt kostenlos aktivieren
true	service-news@1und1.de	Guten Tag Manuel Peise, das sind Ihre exklusiven Vorteile bei 1&1.
true	mobile-team@1und1.de	Manuel Peise, hier kommt Ihr exklusiver Vorteil.
false	service@1und1.de	Sie erhalten eine neue SIM-Karte
true	mobile-team@1und1.de	Manuel Peise, 6 Freimonate warten auf Sie.
true	mobile-team@1und1.de	Manuel Peise, Ihren exklusiven Dauertiefpreis-Vorteil gibt’s nur noch 2 Tage.
false	1und1service@1und1.de	Ihre neue SIM-Karte ist unterwegs
false	service@1und1.de	Herzlich willkommen im neuen 1&1 5G Netz
false	infomail@1und1.de	Ihre Kündigung ist vorgemerkt - Ihre Bestätigung ist notwendig
false	service@1und1.de	Ihre SIM-Karte im neuen 1&1 5G Netz
true	service-news@1und1.de	Guten Tag Manuel Peise, hier kommen 3 Tipps rund um Ihr Smartphone
false	support@1und1.de	Status Einschränkung Mobilfunk
false	support@1und1.de	Entschuldigung
true	service@1und1.de	Umstellung auf das neue 1&1 5G Netz verzögert sich
true	service-news@1und1.de	Guten Tag Manuel Peise, so helfen wir Ihnen noch schneller
true	mobile-team@1und1.de	Manuel Peise, wir haben Neuigkeiten für Sie.
true	mobile-team@1und1.de	Perfekt für die Schule: Tablets und Laptops mit 6 Freimonaten
true	service-news@1und1.de	Guten Tag Manuel Peise, hier sind 3 praktische Tipps rund um Ihr Smartphone
true	service@1und1.de	Glasklare Gespräche aktivieren
true	service@1und1.de	Information zu öffentlichen Warnungen
true	service-news@1und1.de	So geht's: Kundendaten überprüfen, Verbrauch checken, Rechnungen einsehen 
true	service@1und1.de	Nutzen Sie die Vorteile von VoLTE
true	mobile-team@1und1.de	Manuel Peise, 6 Freimonate warten auf Sie
true	service-news@1und1.de	Guten Tag Manuel Peise, diese 1&1 App ist Testsieger
true	mobile-team@1und1.de	Große 1&1 Weihnachts-Aktion: Top-Tablets und Laptops zum Dauertiefpreis
true	service-news@1und1.de	Guten Tag Manuel Peise, so sorgt 1&1 für mehr Sicherheit
false	service@1und1.de	Erinnerung - Bitte legen Sie umgehend Ihre neue SIM-Karte ein
false	support@1und1.de	Bitte schließen Sie Ihre 1&1 Bestellung ab
false	1und1service@1und1.de	Ihre 1&1 Mobilfunk-Bestellung
false	service@1und1.de	Ihre 1&1 SIM-Karte ist auf dem Weg zu Ihnen
false	service@1und1.de	Ihr Paket ist unterwegs
false	service@1und1.de	Ihre 1&1 SIM ist unterwegs
false	support@1und1.de	Zusammenfassung Ihrer Kündigung
false	1und1service@1und1.de	Ihre 1&1 Bestellung
false	auftragsvorbereitung@1und1.de	Ihre 1&1 Bestellung
false	service@1und1.de	Wichtige Info - Ihre alte SIM-Karte wird heute deaktiviert
false	support@1und1.de	Kündigung Ihres 1&1 Internetvertrags
false	auftragsvorbereitung@1und1.de	Ihre 1&1 DSL-Bestellung
false	support@1und1.de	Ihre neue 1&1 SIM-Karte ist aktiviert
false	support@1und1.de	1&1 TV - Ihre Zugangsdaten für 1&1 TV und Filme
false	support@1und1.de	Ihr 1&1 TV-Passwort wurde erfolgreich geändert
false	support@1und1.de	Ihr 1&1 TV-Benutzername wurde erfolgreich geändert
false	rechnungsstelle@1und1.de	Eine Gutschrift für Sie
false	support@1und1.de	Ihr neuer DSL-Tarif ist verfügbar
false	support@1und1.de	Kündigungsbestätigung Ihres 1&1 Mobilfunkvertrags
false	customerservice@1und1.de	 Kündigungsbestätigung ihres 1&1 Vertrages
false	1und1service@1und1.de	Ihre 1&1 Rechnung
true	support@1und1.de	Ihr 1&1 Mobilfunktarif - Viel Freude beim Surfen und Telefonieren
true	1und1service@1und1.de	Ihr 1&1 Mobilfunk - wir haben Ihre Bestellung storniert
false	rechnungsstelle@1und1.de	Ihre 1&1 Gutschrift
false	retouren@1und1.de	Ihre Rücksendung ist angekommen
true	service-news@1und1.de	Guten Tag Manuel Peise, hier kommen 3 Tipps für Weihnachten
true	service-news@1und1.de	3 praktische Tipps für den Jahresanfang
true	newsletter@5212299.m-sender-sib.com	Spur N 08/2024: Fleischmann MEGA Sale
false	Shop@Rasti-Land.de	E-tickets!
false	account-security-noreply@accountprotection.microsoft.com	Sicherheitscode für das Microsoft-Konto
false	no-reply@accounts.google.com	Sicherheitswarnung für mpeise1980@googlemail.com
false	no-reply@acer-mail.com	Thank you for signing up with Acer!
true	egPuHJE@admin.forever-20.com	'Protokoll der Einwilligung'-t828
true	discover@airbnb.com	Aktualisierte Bedingungen und Datenschutzerklärung
true	discover@airbnb.com	Aktualisierung unserer Richtlinien für besondere Umstände
true	news@aktion-news.de	Vor der Neuwahl: Wärmepumpe mit Rekordförderung - Jetzt Chance nutzen
true	store-news@amazon.de	CALZITALY PACK 1 oder 2 PAARE -..." und mehr
true	promotion5@amazon.de	Ihr Amazon-Aktionsgutschein von 15 € und ungenutzter Prime-Vorteil
true	bestellbestaetigung@amazon.de	Deine Amazon.de Bestellung von "KANDEMY Mädchen Prinzessin...".
true	versandbestaetigung@amazon.de	Deine Amazon.de-Bestellung mit "KANDEMY Mädchen Prinzessin..." wurde versandt!
true	shipment-tracking@amazon.de	KANDEMY Mädchen Prinzessin...
true	order-update@amazon.de	Geliefert:  Ihre Amazon.de-Bestellung mit Bestellnr. 028-4010559-1015554
true	store-news@amazon.de	Amazon.de empfiehlt "Dada-Tech Elektrische...
true	customer-reviews-messages@amazon.de	Manuel Peise, sind Sie zufrieden mit 'Seago Elektrische Zahnbürste'? Bewerten Sie den Artikel auf Amazon
true	marketplace-messages@amazon.de	Manuel Peise, möchten Sie Ihre Transaktion bei Amazon.de bewerten?
true	donotreply@amazon.de	Hat deine aktuelle Amazon-Bestellung deine Erwartungen erfüllt? Überprüfe es auf Amazon
true	promotion5@amazon.de	-15€ Rabatt auf deinen ersten Einkauf bei Fresh
true	store-news@amazon.de	Hommie Pilates Bar Kit mit..." und mehr
true	promotion5@amazon.de	ZenTowel Mikrofaser Handtuch I...
true	promotion5@amazon.de	INNSTAR Portable Home Gym 3
true	promotion5@amazon.de	Monnadu Fruchtsamen
